,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
594,Paradorn Srichaphan,0.30654410003556853,0.6922160359367219,0.00025251564814119184,0.0009873483795682933,1
595,Patrick Brady,0.9999597671967816,1.313163882678455e-14,3.991808006455346e-05,3.1472314095565657e-07,0
596,Patrick Kaukovalta,5.620182683907715e-28,6.631579651312852e-117,1.0,4.3464594928631897e-150,2
597,Patrick Kypson,0.9197440769758525,0.07939609460758526,0.00012087162726365279,0.0007389567892985097,0
598,Patrick Rafter,1.19269149063485e-23,3.9662745529340444e-59,1.0,2.9781167500702043e-89,2
599,Paul Capdeville,0.997713599727771,1.2003595642263222e-06,0.00228519951152388,4.011412069970266e-10,0
600,Paul Henri Mathieu,0.8059998535648408,0.18509046255353873,9.786326663566713e-05,0.008811820614984667,0
601,Paul Jubb,8.198207156334811e-50,0.9949760414444969,5.305216000332007e-05,0.004970906395499758,1
602,Pavel Kotov,0.9956174986369531,8.558202827126925e-05,1.8447049588430203e-05,0.004278472285186976,0
603,Pavel Tsoy,0.999988101714723,1.890855161345184e-45,8.351728282206794e-18,1.1898285277690951e-05,0
604,Pedja Krstin,0.997669275063437,7.895626364056619e-08,6.3244914787582405e-09,0.0023306396558081138,0
605,Pedro Araujo,0.9999465930406909,4.987943175057467e-23,8.062164709747261e-10,5.3406153093035356e-05,0
606,Pedro Cachin,0.0,4.069937573321231e-58,0.0005755578107515071,0.999424442189248,3
607,Pedro Martinez,2.4807996825122106e-29,0.9991902316366953,6.762816665081202e-06,0.0008030055466394152,1
608,Pedro Sousa,1.198263563506609e-142,6.767021440331798e-07,4.3584053042358254e-05,0.9999557392448143,3
609,Pete Sampras,0.00010692741004680051,1.1293035802466544e-19,0.9998930725899527,3.748307150961294e-27,2
610,Peter Bertran,0.9999941996353546,1.404748479905421e-16,5.188076154779082e-06,6.122884903631247e-07,0
611,Peter Fajta,0.9986869317702839,8.953901538411151e-09,0.00015676871011655746,0.0011562905656979712,0
612,Peter Gojowczyk,2.2239739434861857e-16,0.9663754129014865,0.0019421462871081331,0.03168244081140526,1
613,Peter Polansky,0.8077380137319631,0.17630687230867356,1.3506841932134083e-05,0.015941607117431228,0
614,Petros Tsitsipas,0.9992025147447314,1.2878263443418726e-16,0.0007960933136259332,1.3919416429573817e-06,0
615,Philipp Kohlschreiber,3.5503697308127674e-16,0.9976375271994379,2.1331408257017114e-05,0.0023411413923046524,1
616,Philipp Petzschner,0.6085887519726344,4.896641808225466e-08,0.3914111990609474,9.009673355460438e-17,0
617,Pierre Hugues Herbert,6.205297302302013e-140,0.01906541008246101,0.9809345894307057,4.868328648299063e-10,2
618,Pol Martin Tiffon,0.9986244158288187,3.099259458638629e-11,8.498532726870268e-07,0.0013747342869158533,0
619,Potito Starace,5.8482113100227814e-207,0.1567718078698857,0.006984700346834738,0.8362434917832795,3
