player,return_points_won_percent,winners_percent,unforced_percent,aces_and_unret_percentage,net_frequency,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct
Peter Polansky,0.9327639267952352,-1.0970308104890873,0.05439188643353394,-0.5880023446685314,-0.5323253034914229,0.719354807321017,0.09206443412964667,-0.8174250635012428,-0.05470332120151031,-0.9006985986889511
Petros Tsitsipas,-2.0523670073998685,0.7192937178133689,-0.4792452618284994,-0.03251307444949739,0.8550840396013375,-0.201380910977894,1.423931532543342,3.050697119852364,-1.3767014020234956,0.44234436801545896
Philipp Kohlschreiber,0.17609322780633402,0.38829554667756183,-0.4220924983927139,-0.17410169044257448,-0.2985620511825005,0.054800258750789275,0.128872421212613,0.4123272914552686,-0.10285115086516021,0.2601816143806124
Philipp Petzschner,-0.6048219822153845,0.8846237161718908,0.23760010575588492,1.7222362127886943,1.4661926263226281,-1.1362817982872753,-0.34051351253228984,0.4913272016818372,0.37466926107348386,-0.43991616040258674
Pierre Hugues Herbert,-0.34073448401463574,1.2038561106264816,-0.5409604259251686,0.7699442600022071,1.2101586938593814,0.46964443768221426,-0.06538406025672563,1.4698772728849012,0.06559919469415341,1.643536354166085
Pol Martin Tiffon,-0.29013828108832346,-0.5756751702708199,-1.640742538581167,-0.8098497836212114,-0.7013104146746887,1.8242376741411948,0.9609522319383621,-0.10564351318260062,-0.9171527371536516,0.5070069409057258
Potito Starace,-0.5258162870388037,0.11720507347077953,-0.9661834664759094,-0.8376118089487729,-0.3880506669612071,0.16691337391092814,0.6340749443641811,-0.15842278522777611,-0.6365712745402358,0.16634558128871088
Prajnesh Gunneswaran,-0.8098861358026902,-0.14912681019212087,-0.4840762570480931,-0.31884254373512716,-0.4986763970021771,-0.49075499717070165,1.7704897793305185,0.5204647922966834,-1.7570676665187506,-0.47919409592965906
Preston Stearns,1.920768496507613,1.1158160573139506,1.978000799194587,-0.6782693510791247,-0.01196573048115195,1.2717962407311059,3.7723615830419637,0.7994615385658507,-3.7077297932207696,1.1418758383737984
Quentin Halys,-0.9246739984338047,2.0662111323188745,-0.019420082061485815,2.9294268720748224,-0.11073739648558514,0.5063653396040534,-0.9668728493507927,1.8318717806944216,0.8547103912593655,-0.0767359189476913
Radek Stepanek,-0.11081401313559205,0.45453693132371253,-0.8392781104176015,0.04940104097920816,1.98329818519555,-0.13178461438232086,-1.2267644451941235,0.7153109971867525,1.2543531525826943,0.405476847476342
Radu Albot,0.23911144285729874,-0.5074015922784247,-0.45854451359432336,-0.7508091370634424,-0.2598601678123029,0.33368814694908927,0.7660524969385529,-0.1550500925509967,-0.7387728224251754,-0.3056387413475089
Rafael Arevalo,-1.6452868153035842,-1.2167813436879138,0.6343447117145373,-1.4414358598232275,-0.2870608905901535,-2.516373582289791,1.4778564475949738,-1.2640918713990923,-1.4302267382163147,0.7905274528092026
Rafael Nadal,0.8348783547834785,0.08513914728742823,-0.9994741532285595,-0.5440565198505755,-0.46080039036063813,0.5339221668088321,0.5429441456360631,-0.09758456403178842,-0.5057545521145257,-0.2475458241492702
Rainer Schuettler,0.004705236794401191,-0.008349868159605808,-0.3205276743584769,-0.5256360493303026,-0.16686151701682383,0.3420777324762104,-0.4833801721550041,-0.5189156159505289,0.516477291363916,0.21399052668969257
Ramkumar Ramanathan,-1.3654191832373899,-0.14402547681393796,0.943279657645807,-0.22036944583266233,0.576766754657274,0.30502373378266423,2.273165555562667,-0.4425025649917641,-2.2196426759219547,-0.5863783825115112
Raphael Collignon,0.3870610437371123,-0.9795680486707743,-1.0471936438574208,-0.31861616879742044,-0.2709546174282318,-0.05669387395834545,1.3698598830289828,-1.0673674584027801,-1.3370580620371473,-1.2929309411887824
Raul Brancaccio,3.8636865737888897,1.7277707427009281,-1.191706254075976,-0.3847437707929313,-0.3023853047755224,1.8242376741411948,0.90829416521952,0.4030663332136078,-0.8648848620593449,2.3933702741872995
Rei Sakamoto,0.008085041825938466,1.0879160852875254,-0.5562617062797129,0.30294473159186686,0.05859711920193803,0.9239627474215998,0.761914401771734,1.4002538220853018,-0.7195897597329692,1.0081418808052929
Reilly Opelka,-0.7991056775573477,2.411231217423286,0.06724973093705859,3.593401517524068,0.22368363174368447,-0.3205349446817395,0.3947728634991901,1.0630035996522886,-0.4107436947500043,0.680753305007281
Renzo Olivo,0.7498035638380175,-0.8984839386632184,0.5899395803866351,-1.2284591597085954,-0.42128182177756335,0.2037428023998105,1.2581444582429178,-0.698539966738429,-1.3026172484008565,-0.8800276480199029
Ricardas Berankis,0.2894943011323362,0.20661203431483105,0.1259534996550985,-0.23445093660355748,-0.03752282169334229,-0.8015641954576239,-0.40747762501407414,0.8097639333193432,0.4312412494113154,0.32579685639887046
