,player,Kmeans_cluster,hierarchial_cluster,GMM_Cluster,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3
580,Novak Djokovic,1,2,1,0.0174039521237011,0.9806654852996868,8.27942593042799e-06,0.0019222831506815
581,Nuno Borges,3,0,1,0.0011932823760129,0.99817898889151,1.489467404596192e-05,0.0006128340584308
582,Oleksandr Ovcharenko,0,1,0,0.9996439077804044,7.447162953582925e-18,3.371465342521366e-09,0.0003560888481299
583,Oleksii Krutykh,1,0,1,3.8471119389980467e-53,0.8256141156134499,0.0005763455983457,0.173809538788204
584,Olivier Rochus,0,0,2,0.0,3.583710212401692e-06,0.9728504705965566,0.0271459456932318
585,Omar Jasika,0,0,0,0.9997295858326634,4.144061988460984e-05,0.0001014949090762,0.0001274786383756
586,Oscar Otte,1,0,3,0.0,0.002464076263684,0.0903974735069422,0.9071384502293742
587,Otto Virtanen,1,2,1,0.2248927442221147,0.774588858796739,0.0002697374750672,0.0002486595060791
588,Ozan Baris,0,1,0,0.999954249932866,1.2828023494234183e-16,2.7607852131454005e-08,4.572245928138045e-05
589,Pablo Andujar,1,0,3,0.0,3.637691744954418e-15,0.0226417734815215,0.9773582265184751
590,Pablo Carreno Busta,1,0,1,0.0009928515029903,0.9974045715061022,6.832511600850594e-06,0.0015957444793065
591,Pablo Cuevas,3,2,3,0.0,2.651786253532455e-13,0.020574624092153,0.9794253759075816
592,Pablo Llamas Ruiz,1,0,0,0.9998352473076528,7.143078394024986e-07,0.0001401326009852,2.390578352243849e-05
593,Paolo Lorenzi,1,0,1,3.403203843742601e-169,0.9990323335044428,0.0006619500084632,0.0003057164870937
594,Paradorn Srichaphan,2,2,1,0.3065441000355685,0.6922160359367219,0.0002525156481411,0.0009873483795682
595,Patrick Brady,0,1,0,0.9999597671967816,1.3131638826784551e-14,3.991808006455346e-05,3.1472314095565657e-07
596,Patrick Kaukovalta,2,3,2,5.620182683907715e-28,6.631579651312852e-117,1.0,4.3464594928631897e-150
597,Patrick Kypson,3,2,0,0.9197440769758524,0.0793960946075852,0.0001208716272636,0.0007389567892985
598,Patrick Rafter,2,3,2,1.1926914906348501e-23,3.9662745529340453e-59,1.0,2.9781167500702046e-89
599,Paul Capdeville,0,0,0,0.997713599727771,1.2003595642263222e-06,0.0022851995115238,4.0114120699702655e-10
600,Paul Henri Mathieu,0,0,0,0.8059998535648408,0.1850904625535387,9.786326663566713e-05,0.0088118206149846
601,Paul Jubb,1,0,1,8.198207156334811e-50,0.9949760414444968,5.305216000332007e-05,0.0049709063954997
