player,net_frequency,net_winner_rate,net_unforced_rate,net_forced_rate,net_points_won_ratio
Balazs Taroczy,0.086438152,0.362068966,0.172413793,0.137931034,0.655172414
Baptiste Crepatte,0.040963855,0.529411765,0.117647059,0,0.705882353
Beibit Zhukayev,0.067961165,0.357142857,0.107142857,0.071428571,0.714285714
Ben Shelton,0.065684076,0.356097561,0.143089431,0.120325203,0.62601626
Benjamin Balleret,0.023668639,0.5,0.25,0,0.75
Benjamin Becker,0.015649452,0.5,0.2,0,0.6
Benjamin Bonzi,0.050901804,0.440944882,0.031496063,0.086614173,0.724409449
Benjamin Hassan,0.026143791,0.5,0.25,0.25,0.75
Benoit Paire,0.063240703,0.47819063,0.163166397,0.084006462,0.686591276
Bernabe Zapata Miralles,0.027287319,0.411764706,0.082352941,0.141176471,0.694117647
Bernard Tomic,0.019982993,0.539007092,0.09929078,0.106382979,0.75177305
Bill Scanlon,0.115226337,0.321428571,0.178571429,0.071428571,0.607142857
Billy Harris,0.018,0.333333333,0.111111111,0.333333333,0.777777778
Bjorn Borg,0.066166592,0.367174281,0.115059222,0.079526227,0.692047377
Bjorn Fratangelo,0.011976048,0.5,0.5,0,0.5
Bjorn Phau,0.024761905,0.538461538,0,0.076923077,0.692307692
Blaz Kavcic,0.006514658,0.5,0,0,1
Blaz Rola,0.027586207,0.25,0.25,0.0625,0.375
Bob Bryan,0.25974026,0.25,0.1,0.05,0.55
Bobby Reynolds,0.0456621,0.4,0.1,0,0.6
Bohdan Ulihrach,0.019900498,0.75,0,0,1
Boris Becker,0.182990127,0.306767381,0.097117312,0.142438724,0.686603977
Borna Coric,0.036045917,0.496957404,0.123732252,0.089249493,0.718052738
Borna Gojo,0.032727273,0.666666667,0.111111111,0.111111111,0.777777778
Botic Van De Zandschulp,0.038770219,0.489649682,0.063694268,0.132165605,0.765923567
Brad Gilbert,0.11387632,0.258278146,0.198675497,0.132450331,0.582781457
Bradley Klahn,0.052777778,0.210526316,0.157894737,0.105263158,0.315789474
