player,winners_per_point,forced_per_point,unforced_per_point
Gabriel Markus,0.3418803418803419,0.2564102564102564,0.4017094017094017
Gabriele Felline,0.21212121212121213,0.15151515151515152,0.6363636363636364
Gael Monfils,0.3102761550716941,0.2265002655337228,0.46255974508762615
Gary Muller,0.6153846153846154,0.15384615384615385,0.23076923076923078
Gastao Elias,0.41304347826086957,0.15217391304347827,0.43478260869565216
Gaston Etlis,0.3972602739726027,0.18493150684931506,0.4178082191780822
Gaston Gaudio,0.31216931216931215,0.20634920634920634,0.48148148148148145
Gavin Van Peperzeel,0.38235294117647056,0.20588235294117646,0.4117647058823529
Genaro Alberto Olivieri,0.20833333333333334,0.2708333333333333,0.5208333333333334
George Bastl,0.25,0.25,0.5
Gerald Melzer,0.4166666666666667,0.25,0.3333333333333333
Germain Gigounon,0.3090909090909091,0.05454545454545454,0.6363636363636364
Gianluca Mager,0.24719101123595505,0.24719101123595505,0.5056179775280899
Gianluigi Quinzi,0.34375,0.203125,0.453125
Gijs Brouwer,0.305352798053528,0.22992700729927007,0.4635036496350365
