player_name,rating,last_match
Otto Virtanen,1546.8962041054972,2024-10-14
Federico Dondo,1546.8123803698657,2003-04-04
Dimitar Kutrovsky,1546.7587665786496,2015-09-18
Attila Balazs,1546.6103643072965,2023-08-28
Dmitry Tursunov,1546.554710378657,2017-08-28
Jozef Kovalik,1546.4449585253014,2024-09-15
Daniel Evans,1545.7074756633424,2024-10-14
Toshihide Matsui,1545.3693457416687,2007-09-24
Gianluca Mager,1545.3429475189412,2022-01-31
Ernests Gulbis,1545.1792165401118,2023-02-04
Luka Gregorc,1545.0698796949123,2010-03-05
Sergei Bubka,1544.8416268483313,2012-09-14
Pedro Martinez,1544.8260120331238,2024-11-04
Viktor Troicki,1544.7238025373529,2021-06-14
Beibit Zhukayev,1544.4809244696496,2024-10-14
Lukas Lacko,1544.423833749833,2021-06-14
Kenneth Carlsen,1544.2299782148875,2007-10-07
Josselin Ouanna,1544.0246574213415,2013-04-08
Ruben Bemelmans,1544.0147251425497,2021-09-18
Mattia Bellucci,1543.916185401981,2024-10-02
Billy Harris,1543.578823072264,2024-10-02
Wayne Odesnik,1543.291484852761,2014-08-25
Juan Carlos Saez,1542.9456750805655,2015-09-18
Aisam Ul Haq Qureshi,1542.875764029319,2024-02-03
Cyril Saulnier,1542.6983512940906,2007-02-12
Oleg Ogorodov,1541.9922610954386,2003-04-04
Solon Peppas,1541.9894513091422,2003-09-19
Todd Widom,1541.6501883820242,2009-03-12
Elmer Moller,1541.5520223455385,2024-09-14
Janez Semrajc,1541.409627057444,2014-01-31
Hady Habib,1541.2860801966212,2024-09-14
Alex Bogomolov Jr,1540.8574363389744,2014-04-07
Guillermo Canas,1540.409069530668,2009-07-13
Julio Cesar Campozano,1540.3852041574862,2014-04-04
Pablo Llamas Ruiz,1540.3378836954626,2024-04-22
Martin Damm,1540.0253765036935,2024-03-18
Alistair Hunt,1539.8384087982986,2003-04-04
J J Wolf,1539.5684793424693,2024-07-29
Alejandro Hernandez,1539.5201907440266,2005-03-04
Rainer Schuettler,1539.4242377352507,2011-06-20
Igor Andreev,1539.2720851480647,2013-06-24
Juan Sebastian Cabal,1539.1678316819093,2014-07-14
Jason Stoltenberg,1538.8380499802759,2001-06-25
Peter Gojowczyk,1538.8339476075323,2022-08-29
Colin Obrien,1538.689132013129,2013-04-05
Diego Galeano,1538.6469363886679,2014-01-31
Yu Hsiou Hsu,1538.6442170749558,2024-02-03
Paul Goldstein,1538.545828564713,2007-08-27
Filip Polasek,1538.503385260755,2008-09-19
Mariano Zabaleta,1538.3858219739761,2008-01-28
Daniel Altmaier,1538.186034634636,2024-11-22
Yuki Bhambri,1537.9460734211889,2023-02-03
Luis Horna,1537.4923162307548,2009-09-18
Jerome Golmard,1536.7438396695436,2004-09-13
Tucker Vorster,1536.3966403218478,2016-07-15
Adam Pavlasek,1536.332848727768,2018-05-28
James Duckworth,1536.290650540952,2024-11-04
Mark Nielsen,1535.8553514594212,2008-04-11
Marco Trungelliti,1535.759979466658,2024-09-18
Daniel Gimeno Traver,1535.7275039986837,2018-04-30
Sebastian Decoud,1535.7031952226446,2011-07-04
Henrique Rocha,1535.2197210283807,2024-09-13
Yen Hsun Lu,1534.9896862586504,2021-07-24
Lukas Klein,1534.9887182152918,2024-11-04
Chris Guccione,1534.9768484033714,2014-06-16
Tihomir Grozdanov,1534.8865521543507,2015-07-17
Ian Flanagan,1534.87456099395,2004-06-07
