player_name,rating,last_match
Abedallah Shelbayh,1472.6145143810795,2024-04-01
Dimitar Kuzmanov,1471.528064209417,2024-02-03
Viktor Durasovic,1471.1695405550417,2024-02-02
Henry Searle,1471.0338067808027,2024-07-01
Jack Cheng,1470.416875465782,2024-09-14
Enzo Couacaud,1470.2774886582708,2024-07-22
Branko Djuric,1470.088715188067,2024-11-04
Emilio Nava,1469.994859398055,2024-07-15
Philip Hjorth,1469.9669092153836,2024-09-14
Ki Lung Ng,1469.8192260492665,2024-09-14
Marcos Lee Chan Baratau,1469.6954397054437,2024-09-14
Brandon Holt,1469.6361763529974,2024-08-12
Tristan Schoolkate,1469.6121076847955,2024-08-26
Matavao Fanguna,1469.4695015289756,2024-02-02
Min Kyu Song,1469.4695015289756,2024-09-13
Luca Preda,1469.4695015289756,2024-02-03
Thanapet Chanta,1469.4695015289756,2024-02-03
Kwok Shun Dasson Chan,1469.4695015289756,2024-02-03
Luka Mikrut,1467.835450878825,2024-07-22
Saba Purtseladze,1466.6910985961915,2024-09-14
Hamza Karmoussi,1466.5603634185177,2024-02-03
Maxime Cressy,1466.3326357709354,2024-07-29
Yanki Erel,1465.2195937817332,2024-09-13
Hugo Dellien,1465.1536156489374,2024-09-13
Karl Friberg,1464.7113566540106,2024-02-02
Alexander Blockx,1464.4799020108655,2024-10-14
Leo Borg,1464.4442785642998,2024-10-14
Maximus Jones,1464.1848427543566,2024-02-03
Faris Zakaryia,1464.1548212730918,2024-09-13
Gillian Osmont,1464.0961079626995,2024-02-02
Strong Kirchheimer,1463.1145963120214,2024-08-19
Gilles Arnaud Bailly,1462.477991493737,2024-10-14
Martins Rocens,1461.7058504308825,2024-02-02
Mili Poljicak,1461.4938016057506,2024-07-22
Rigele Te,1460.7306087814438,2024-09-13
Vit Kopriva,1459.995468763601,2024-07-22
Daniel Rincon,1459.636813060924,2024-04-15
Marc Polmans,1459.1725510342699,2024-07-15
Martin Antonio Vergara Del Puerto,1458.7502707692302,2024-02-03
Charles Broom,1457.9683599929429,2024-07-01
Mate Valkusz,1457.3838070550214,2024-09-13
Gonzalo Bueno,1456.2439003163754,2024-09-13
Murkel Alejandro Dellien Velasco,1456.0862750692902,2024-09-13
Luca Nardi,1455.4353754987926,2024-10-02
Sergey Fomin,1455.3991267028512,2024-09-13
Zura Tkemaladze,1454.2431853687212,2024-02-03
Matic Kriznik,1453.5070898799977,2024-02-02
Martin Landaluce,1451.4995410977674,2024-04-22
Fajing Sun,1451.4090447083684,2024-09-18
Raphael Collignon,1451.1054532663072,2024-10-14
Edas Butvilas,1450.1670872776883,2024-09-13
Kris Van Wyk,1450.100087749929,2024-02-02
Younes Lalami Laaroussi,1449.938573301,2024-09-14
Sebastian Dominko,1449.5237013873468,2024-02-02
Conor Gannon,1449.249741519772,2024-09-13
Vilius Gaubas,1449.2327096748947,2024-09-13
Joris De Loore,1445.9217823613528,2024-02-03
Ethan Quinn,1445.6966839628683,2024-07-15
Alec Beckley,1445.6552583355997,2024-09-14
Oleksandr Ovcharenko,1445.4933019113955,2024-09-13
Kevin Krawietz,1444.8222595204584,2024-02-02
Nicolas Mejia,1442.7593207324712,2024-09-14
Bernabe Zapata Miralles,1442.2218028375958,2024-03-04
Andrea Collarini,1441.916883416016,2024-07-22
Muhammad Shoaib,1439.5234578043192,2024-09-14
Michael Bassem Sobhy,1439.214474284859,2024-02-02
Elliot Benchetrit,1438.991716274963,2024-09-14
Max Hans Rehberg,1438.4479516972772,2024-04-15
Davis Rolis,1438.036036500395,2024-09-14
Rodrigo Crespo Piedra,1436.6012871859784,2024-02-02
Ilya Snitari,1435.0532485437534,2024-02-03
Rowland Phillips,1434.5648146098026,2024-02-03
Alexey Vatutin,1434.316126129681,2024-10-14
Constant Lestienne,1433.1265842476873,2024-08-26
Ernesto Escobedo,1430.0118009082196,2024-02-26
Maxime Janvier,1427.064398673331,2024-07-01
Skander Mansouri,1427.0187951420269,2024-09-13
Andrej Nedic,1426.7182683499934,2024-02-03
James Mccabe,1425.9636715572342,2024-09-18
Benoit Paire,1425.955430754201,2024-07-15
Kiranpal Pannu,1425.397417176926,2024-09-14
Linh Giang Trinh,1425.229183633611,2024-02-02
Menelaos Efstathiou,1423.562463169852,2024-02-03
Kaipo Marshall,1417.5578259683275,2024-09-14
Marko Topo,1416.646353601068,2024-04-15
Courtney John Lock,1416.1875273779287,2024-02-03
Jesse Flores,1415.3272330551827,2024-02-02
Jaime Faria,1414.2691434389994,2024-09-13
Eero Vasa,1414.201275269372,2024-09-14
Adam Walton,1414.1856018148974,2024-09-18
Shintaro Mochizuki,1413.5786362150266,2024-09-25
Jose Rubin Statham,1413.3996553793095,2024-09-14
Kristjan Tamm,1408.2637444533125,2024-09-13
Ramkumar Ramanathan,1408.1891203729074,2024-10-02
Chun Hsin Tseng,1404.624632445175,2024-09-18
Li Tu,1402.9376334101867,2024-10-02
Cem Ilkel,1400.2962047549106,2024-09-13
Vitaliy Sachko,1398.0100787764163,2024-09-13
Petros Chrysochos,1394.3387499621995,2024-02-03
Steven Diez,1389.6365705617593,2024-01-01
Daniels Tens,1387.6104714394596,2024-09-14
Cesar Cruz,1386.336829667649,2024-09-14
Ajeet Rai,1370.6910113735605,2024-09-14
Anthony Susanto,1366.450362726831,2024-02-03
