player_name,surface,rating,last_match
Vasek Pospisil,Carpet,1484.0,2024-08-05
Baris Erguden,Carpet,1484.0,2012-02-10
Christopher Koutrouzas,Carpet,1484.0,2011-07-08
Ando Rasolomalala,Carpet,1484.0,2012-04-06
Irakli Metreveli,Carpet,1484.0,2016-03-04
Giorgi Javakhishvili,Carpet,1484.0,2016-03-04
Mehdi Jdi,Carpet,1484.0,2017-02-03
David Kvernadze,Carpet,1483.9951565923554,2005-03-04
Johnny Arcilla,Carpet,1483.9723170652762,2014-04-04
Simon Aspelin,Carpet,1483.9626700111307,2011-03-04
Younes El Aynaoui,Carpet,1483.8836714721351,2010-01-04
Vladimir Ivanov,Carpet,1483.8564462189916,2021-09-17
George Tsivadze,Carpet,1483.846333864535,2019-09-13
Oliver Marach,Carpet,1483.7006278218282,2015-07-17
Mischa Zverev,Carpet,1483.640554746746,2021-03-22
Kristof Vliegen,Carpet,1483.623415982883,2010-09-20
Serguei Tarasevitch,Carpet,1483.5848475456328,2006-04-07
Philippos Tsangaridis,Carpet,1483.5423467219107,2011-07-08
Martin Pedersen,Carpet,1483.4678642249967,2015-03-06
Julian Reister,Carpet,1483.4331893610633,2015-07-27
Miguel Gallardo Valles,Carpet,1483.3854190542172,2014-04-04
Aljoscha Thron,Carpet,1483.369897796791,2005-09-26
Martin Damm Sr,Carpet,1483.364593657789,2002-02-18
Seung Bok Baek,Carpet,1483.3296897362338,2002-04-05
Iurie Gorban,Carpet,1483.328149753561,2001-07-20
Tomislav Brkic,Carpet,1483.326744171427,2019-09-14
Andrey Dernovskiy,Carpet,1483.2976013366472,2003-04-04
Alexey Kedryuk,Carpet,1483.2976013366472,2009-07-10
Emil Ruusuvuori,Carpet,1483.2975328274754,2024-07-29
Christian Ruud,Carpet,1483.2975295365407,2001-05-28
Andrey Stepanov,Carpet,1483.2959774658789,2003-04-04
Patrik Niklas Salminen,Carpet,1483.291638993677,2021-09-17
Marius Tangen,Carpet,1483.266525344521,2005-03-04
Lukas Mugevicius,Carpet,1483.266038623816,2017-04-07
Alex Calatrava,Carpet,1483.2652514336262,2006-07-24
Hee Sung Chung,Carpet,1483.263693206478,2000-02-04
Dias Doskarayev,Carpet,1483.263693206478,2003-02-07
Harsh Mankad,Carpet,1483.263693206478,2005-06-13
Tihomir Grozdanov,Carpet,1483.263693206478,2015-07-17
Haluk Akkoyun,Carpet,1483.263693206478,2012-04-06
Kevin Jonckheer,Carpet,1483.2343753131493,2003-02-07
Minh Quan Do,Carpet,1483.2311361570778,2014-04-04
Mads Gottlieb,Carpet,1483.229388053456,2001-04-27
Guillermo Hormazabal,Carpet,1483.2283057342675,2012-09-14
Thomas Oger,Carpet,1483.2274469613792,2017-02-03
Denis Istomin,Carpet,1483.1706203742253,2022-09-16
Vadim Davletshin,Carpet,1483.0790432605497,2005-10-24
Sergio Roitman,Carpet,1483.072236875778,2009-07-27
Olivier Mutis,Carpet,1482.9893853076398,2005-04-04
Sebastien De Chaunac,Carpet,1482.9729302509809,2009-09-21
Pavel Chekhov,Carpet,1482.9378271831722,2007-10-22
Adrian Voinea,Carpet,1482.9373735852212,2003-07-28
Konstantinos Economidis,Carpet,1482.9142195604456,2011-07-08
Vishal Punna,Carpet,1482.7754571072037,2004-02-06
Julien Mathieu,Carpet,1482.7183178256323,2006-10-23
